rel_key,priority,priority_label,doc_depth,kind,rel_path,abs_path,output_md,parent_summary_only,status,reason
file:package.json,11,A,deep,file,package.json,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/package.json,files/package.json.md,0,pending,selected: high-value file for core path
directory:packages/@ant/ink,12,A,overview,directory,packages/@ant/ink,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/packages/@ant/ink,directories/packages__@ant__ink.md,0,pending,selected: contains build/manifest entry
directory:src/skills,13,A,overview,directory,src/skills,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/skills,directories/src__skills.md,0,pending,selected: useful directory for architecture map
directory:src/services/acp,14,A,standard,directory,src/services/acp,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/acp,directories/src__services__acp.md,0,pending,selected: core module boundary
directory:src/bridge,15,A,overview,directory,src/bridge,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/bridge,directories/src__bridge.md,0,pending,selected: useful directory for architecture map
directory:packages,16,A,overview,directory,packages,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/packages,directories/packages.md,0,pending,selected: useful directory for architecture map
file:src/skills/bundled/index.ts,17,A,deep,file,src/skills/bundled/index.ts,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/skills/bundled/index.ts,files/src__skills__bundled__index.ts.md,0,pending,selected: high-value file for core path
file:src/plugins/bundled/index.ts,18,A,deep,file,src/plugins/bundled/index.ts,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/plugins/bundled/index.ts,files/src__plugins__bundled__index.ts.md,0,pending,selected: high-value file for core path
directory:src/utils,19,A,overview,directory,src/utils,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/utils,directories/src__utils.md,0,pending,selected: useful directory for architecture map
directory:packages/builtin-tools/src/tools,20,A,standard,directory,packages/builtin-tools/src/tools,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/packages/builtin-tools/src/tools,directories/packages__builtin-tools__src__tools.md,0,pending,selected: useful directory for architecture map
directory:packages/@ant/ink/docs,21,A,overview,directory,packages/@ant/ink/docs,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/packages/@ant/ink/docs,directories/packages__@ant__ink__docs.md,0,pending,selected: contains build/manifest entry
directory:src/skills/bundled,22,A,overview,directory,src/skills/bundled,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/skills/bundled,directories/src__skills__bundled.md,0,pending,selected: useful directory for architecture map
directory:src/commands/claim-main,23,A,overview,directory,src/commands/claim-main,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/claim-main,directories/src__commands__claim-main.md,0,pending,selected: core module boundary
directory:src/commands/config,24,A,overview,directory,src/commands/config,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/config,directories/src__commands__config.md,0,pending,selected: core module boundary
directory:src/commands/model,25,A,overview,directory,src/commands/model,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/model,directories/src__commands__model.md,0,pending,selected: core module boundary
directory:src/commands/tasks,26,A,overview,directory,src/commands/tasks,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/tasks,directories/src__commands__tasks.md,0,pending,selected: core module boundary
directory:src/commands/workflows,27,A,overview,directory,src/commands/workflows,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/workflows,directories/src__commands__workflows.md,0,pending,selected: core module boundary
directory:src/commands/memory-stores,28,A,overview,directory,src/commands/memory-stores,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/memory-stores,directories/src__commands__memory-stores.md,0,pending,selected: core module boundary
directory:src/commands/oauth-refresh,29,A,overview,directory,src/commands/oauth-refresh,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/oauth-refresh,directories/src__commands__oauth-refresh.md,0,pending,selected: core module boundary
directory:src/commands/skill-store,30,A,overview,directory,src/commands/skill-store,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/skill-store,directories/src__commands__skill-store.md,0,pending,selected: core module boundary
directory:src/services/api/gemini,31,A,overview,directory,src/services/api/gemini,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/api/gemini,directories/src__services__api__gemini.md,0,pending,selected: core module boundary
directory:src/services/api/grok,32,A,overview,directory,src/services/api/grok,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/api/grok,directories/src__services__api__grok.md,0,pending,selected: core module boundary
directory:src/services/api/openai,33,A,overview,directory,src/services/api/openai,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/api/openai,directories/src__services__api__openai.md,0,pending,selected: core module boundary
file:src/services/api/client.ts,34,A,deep,file,src/services/api/client.ts,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/api/client.ts,files/src__services__api__client.ts.md,0,pending,selected: service/runtime/config boundary
file:src/services/api/claude.ts,35,A,deep,file,src/services/api/claude.ts,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/api/claude.ts,files/src__services__api__claude.ts.md,0,pending,selected: service/runtime/config boundary
file:src/utils/model/providers.ts,36,A,deep,file,src/utils/model/providers.ts,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/utils/model/providers.ts,files/src__utils__model__providers.ts.md,0,pending,selected: service/runtime/config boundary
file:tsconfig.json,37,A,deep,file,tsconfig.json,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/tsconfig.json,files/tsconfig.json.md,0,pending,selected: service/runtime/config boundary
file:src/entrypoints/cli.tsx,38,A,deep,file,src/entrypoints/cli.tsx,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/entrypoints/cli.tsx,files/src__entrypoints__cli.tsx.md,0,pending,selected: high-value file for core path
directory:packages/acp-link,39,A,overview,directory,packages/acp-link,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/packages/acp-link,directories/packages__acp-link.md,0,pending,selected: contains build/manifest entry
file:src/entrypoints/init.ts,40,A,deep,file,src/entrypoints/init.ts,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/entrypoints/init.ts,files/src__entrypoints__init.ts.md,0,pending,selected: high-value file for core path
directory:src/utils/model,41,A,standard,directory,src/utils/model,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/utils/model,directories/src__utils__model.md,0,pending,selected: core module boundary
directory:docs,42,A,overview,directory,docs,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/docs,directories/docs.md,0,pending,selected: useful directory for architecture map
directory:packages/remote-control-server/web,43,A,overview,directory,packages/remote-control-server/web,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/packages/remote-control-server/web,directories/packages__remote-control-server__web.md,0,pending,selected: contains build/manifest entry
file:src/services/tools/toolOrchestration.ts,44,A,deep,file,src/services/tools/toolOrchestration.ts,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/tools/toolOrchestration.ts,files/src__services__tools__toolOrchestration.ts.md,0,pending,selected: service/runtime/config boundary
directory:src/commands/plugin,45,A,overview,directory,src/commands/plugin,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/plugin,directories/src__commands__plugin.md,0,pending,selected: useful directory for architecture map
file:src/replLauncher.tsx,46,A,deep,file,src/replLauncher.tsx,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/replLauncher.tsx,files/src__replLauncher.tsx.md,0,pending,selected: high-value file for core path
directory:src/commands/install-github-app,47,A,overview,directory,src/commands/install-github-app,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/install-github-app,directories/src__commands__install-github-app.md,0,pending,selected: useful directory for architecture map
directory:src/services/skillLearning,48,A,overview,directory,src/services/skillLearning,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/skillLearning,directories/src__services__skillLearning.md,0,pending,selected: core module boundary
directory:src/commands/autofix-pr,49,A,overview,directory,src/commands/autofix-pr,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/autofix-pr,directories/src__commands__autofix-pr.md,0,pending,selected: useful directory for architecture map
file:src/utils/handlePromptSubmit.ts,50,A,deep,file,src/utils/handlePromptSubmit.ts,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/utils/handlePromptSubmit.ts,files/src__utils__handlePromptSubmit.ts.md,0,pending,selected: high-value file for core path
file:src/QueryEngine.ts,51,A,deep,file,src/QueryEngine.ts,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/QueryEngine.ts,files/src__QueryEngine.ts.md,0,pending,selected: high-value file for core path
directory:src/tasks,52,A,overview,directory,src/tasks,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/tasks,directories/src__tasks.md,0,pending,selected: core module boundary
directory:src/services/analytics,53,A,overview,directory,src/services/analytics,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/analytics,directories/src__services__analytics.md,0,pending,selected: core module boundary
file:src/query.ts,54,A,deep,file,src/query.ts,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/query.ts,files/src__query.ts.md,0,pending,selected: high-value file for core path
directory:src/commands/add-dir,55,A,overview,directory,src/commands/add-dir,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/add-dir,directories/src__commands__add-dir.md,0,pending,selected: useful directory for architecture map
directory:src/commands/agents,56,A,overview,directory,src/commands/agents,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/agents,directories/src__commands__agents.md,0,pending,selected: useful directory for architecture map
directory:src/commands/ant-trace,57,A,overview,directory,src/commands/ant-trace,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/ant-trace,directories/src__commands__ant-trace.md,0,pending,selected: useful directory for architecture map
directory:src/commands/assistant,58,A,overview,directory,src/commands/assistant,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/assistant,directories/src__commands__assistant.md,0,pending,selected: useful directory for architecture map
directory:src/commands/attach,59,A,overview,directory,src/commands/attach,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/attach,directories/src__commands__attach.md,0,pending,selected: useful directory for architecture map
directory:src/commands/branch,60,A,overview,directory,src/commands/branch,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/branch,directories/src__commands__branch.md,0,pending,selected: useful directory for architecture map
directory:src/commands/bridge,61,A,overview,directory,src/commands/bridge,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/bridge,directories/src__commands__bridge.md,0,pending,selected: useful directory for architecture map
directory:src/commands/btw,62,A,overview,directory,src/commands/btw,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/btw,directories/src__commands__btw.md,0,pending,selected: useful directory for architecture map
directory:src/commands/buddy,63,A,overview,directory,src/commands/buddy,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/buddy,directories/src__commands__buddy.md,0,pending,selected: useful directory for architecture map
directory:src/commands/bughunter,64,A,overview,directory,src/commands/bughunter,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/bughunter,directories/src__commands__bughunter.md,0,pending,selected: useful directory for architecture map
directory:src/commands/chrome,65,A,overview,directory,src/commands/chrome,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/chrome,directories/src__commands__chrome.md,0,pending,selected: useful directory for architecture map
directory:src/commands/clear,66,A,overview,directory,src/commands/clear,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/clear,directories/src__commands__clear.md,0,pending,selected: useful directory for architecture map
directory:src/commands/color,67,A,overview,directory,src/commands/color,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/color,directories/src__commands__color.md,0,pending,selected: useful directory for architecture map
directory:src/commands/compact,68,A,overview,directory,src/commands/compact,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/compact,directories/src__commands__compact.md,0,pending,selected: useful directory for architecture map
directory:src/commands/context,69,A,overview,directory,src/commands/context,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/context,directories/src__commands__context.md,0,pending,selected: useful directory for architecture map
directory:src/commands/copy,70,A,overview,directory,src/commands/copy,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/copy,directories/src__commands__copy.md,0,pending,selected: useful directory for architecture map
directory:src/commands/cost,71,A,overview,directory,src/commands/cost,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/cost,directories/src__commands__cost.md,0,pending,selected: useful directory for architecture map
directory:src/commands/ctx_viz,72,A,overview,directory,src/commands/ctx_viz,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/ctx_viz,directories/src__commands__ctx_viz.md,0,pending,selected: useful directory for architecture map
directory:src/commands/daemon,73,A,overview,directory,src/commands/daemon,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/daemon,directories/src__commands__daemon.md,0,pending,selected: useful directory for architecture map
directory:src/commands/desktop,74,A,overview,directory,src/commands/desktop,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/desktop,directories/src__commands__desktop.md,0,pending,selected: useful directory for architecture map
directory:src/commands/detach,75,A,overview,directory,src/commands/detach,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/detach,directories/src__commands__detach.md,0,pending,selected: useful directory for architecture map
directory:src/commands/diff,76,A,overview,directory,src/commands/diff,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/diff,directories/src__commands__diff.md,0,pending,selected: useful directory for architecture map
directory:src/commands/doctor,77,A,overview,directory,src/commands/doctor,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/doctor,directories/src__commands__doctor.md,0,pending,selected: useful directory for architecture map
directory:src/commands/effort,78,A,overview,directory,src/commands/effort,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/effort,directories/src__commands__effort.md,0,pending,selected: useful directory for architecture map
directory:src/commands/env,79,A,overview,directory,src/commands/env,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/env,directories/src__commands__env.md,0,pending,selected: useful directory for architecture map
directory:src/commands/exit,80,A,overview,directory,src/commands/exit,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/exit,directories/src__commands__exit.md,0,pending,selected: useful directory for architecture map
directory:src/commands/export,81,A,overview,directory,src/commands/export,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/export,directories/src__commands__export.md,0,pending,selected: useful directory for architecture map
directory:src/commands/fast,82,A,overview,directory,src/commands/fast,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/fast,directories/src__commands__fast.md,0,pending,selected: useful directory for architecture map
directory:src/commands/feedback,83,A,overview,directory,src/commands/feedback,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/feedback,directories/src__commands__feedback.md,0,pending,selected: useful directory for architecture map
directory:src/commands/files,84,A,overview,directory,src/commands/files,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/files,directories/src__commands__files.md,0,pending,selected: useful directory for architecture map
directory:src/commands/fork,85,A,overview,directory,src/commands/fork,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/fork,directories/src__commands__fork.md,0,pending,selected: useful directory for architecture map
directory:src/commands/heapdump,86,A,overview,directory,src/commands/heapdump,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/heapdump,directories/src__commands__heapdump.md,0,pending,selected: useful directory for architecture map
directory:src/commands/help,87,A,overview,directory,src/commands/help,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/help,directories/src__commands__help.md,0,pending,selected: useful directory for architecture map
directory:src/commands/history,88,A,overview,directory,src/commands/history,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/history,directories/src__commands__history.md,0,pending,selected: useful directory for architecture map
directory:src/commands/hooks,89,A,overview,directory,src/commands/hooks,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/hooks,directories/src__commands__hooks.md,0,pending,selected: useful directory for architecture map
directory:src/commands/ide,90,A,overview,directory,src/commands/ide,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/ide,directories/src__commands__ide.md,0,pending,selected: useful directory for architecture map
directory:src/commands/issue,91,A,overview,directory,src/commands/issue,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/issue,directories/src__commands__issue.md,0,pending,selected: useful directory for architecture map
directory:src/commands/job,92,A,overview,directory,src/commands/job,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/job,directories/src__commands__job.md,0,pending,selected: useful directory for architecture map
directory:src/commands/lang,93,A,overview,directory,src/commands/lang,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/lang,directories/src__commands__lang.md,0,pending,selected: useful directory for architecture map
directory:src/commands/login,94,A,overview,directory,src/commands/login,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/login,directories/src__commands__login.md,0,pending,selected: useful directory for architecture map
directory:src/commands/logout,95,A,overview,directory,src/commands/logout,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/logout,directories/src__commands__logout.md,0,pending,selected: useful directory for architecture map
directory:src/commands/mcp,96,A,overview,directory,src/commands/mcp,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/mcp,directories/src__commands__mcp.md,0,pending,selected: useful directory for architecture map
directory:src/commands/memory,97,A,overview,directory,src/commands/memory,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/memory,directories/src__commands__memory.md,0,pending,selected: useful directory for architecture map
directory:src/commands/mobile,98,A,overview,directory,src/commands/mobile,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/mobile,directories/src__commands__mobile.md,0,pending,selected: useful directory for architecture map
directory:src/commands/onboarding,99,A,overview,directory,src/commands/onboarding,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/onboarding,directories/src__commands__onboarding.md,0,pending,selected: useful directory for architecture map
directory:src/commands/passes,100,A,overview,directory,src/commands/passes,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/passes,directories/src__commands__passes.md,0,pending,selected: useful directory for architecture map
directory:src/commands/peers,101,A,overview,directory,src/commands/peers,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/peers,directories/src__commands__peers.md,0,pending,selected: useful directory for architecture map
directory:src/commands/perf-issue,102,A,overview,directory,src/commands/perf-issue,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/perf-issue,directories/src__commands__perf-issue.md,0,pending,selected: useful directory for architecture map
directory:src/commands/pipes,103,A,overview,directory,src/commands/pipes,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/pipes,directories/src__commands__pipes.md,0,pending,selected: useful directory for architecture map
directory:src/commands/plan,104,A,overview,directory,src/commands/plan,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/plan,directories/src__commands__plan.md,0,pending,selected: useful directory for architecture map
directory:src/commands/poor,105,A,overview,directory,src/commands/poor,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/poor,directories/src__commands__poor.md,0,pending,selected: useful directory for architecture map
directory:src/commands/recap,106,A,overview,directory,src/commands/recap,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/recap,directories/src__commands__recap.md,0,pending,selected: useful directory for architecture map
directory:src/commands/remote-env,107,A,overview,directory,src/commands/remote-env,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/remote-env,directories/src__commands__remote-env.md,0,pending,selected: useful directory for architecture map
directory:src/commands/rename,108,A,overview,directory,src/commands/rename,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/rename,directories/src__commands__rename.md,0,pending,selected: useful directory for architecture map
directory:src/commands/resume,109,A,overview,directory,src/commands/resume,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/resume,directories/src__commands__resume.md,0,pending,selected: useful directory for architecture map
directory:src/commands/rewind,110,A,overview,directory,src/commands/rewind,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/rewind,directories/src__commands__rewind.md,0,pending,selected: useful directory for architecture map
directory:src/commands/schedule,111,A,overview,directory,src/commands/schedule,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/schedule,directories/src__commands__schedule.md,0,pending,selected: useful directory for architecture map
directory:src/commands/send,112,A,overview,directory,src/commands/send,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/send,directories/src__commands__send.md,0,pending,selected: useful directory for architecture map
directory:src/commands/session,113,A,overview,directory,src/commands/session,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/session,directories/src__commands__session.md,0,pending,selected: useful directory for architecture map
directory:src/commands/share,114,A,overview,directory,src/commands/share,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/share,directories/src__commands__share.md,0,pending,selected: useful directory for architecture map
directory:src/commands/skills,115,A,overview,directory,src/commands/skills,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/skills,directories/src__commands__skills.md,0,pending,selected: useful directory for architecture map
directory:src/commands/stats,116,A,overview,directory,src/commands/stats,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/stats,directories/src__commands__stats.md,0,pending,selected: useful directory for architecture map
directory:src/commands/status,117,A,overview,directory,src/commands/status,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/status,directories/src__commands__status.md,0,pending,selected: useful directory for architecture map
directory:src/commands/stickers,118,A,overview,directory,src/commands/stickers,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/stickers,directories/src__commands__stickers.md,0,pending,selected: useful directory for architecture map
directory:src/commands/summary,119,A,overview,directory,src/commands/summary,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/summary,directories/src__commands__summary.md,0,pending,selected: useful directory for architecture map
directory:src/commands/tag,120,C,skip,directory,src/commands/tag,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/tag,directories/src__commands__tag.md,1,skipped,skipped: covered by parent summary
directory:src/commands/teleport,121,C,skip,directory,src/commands/teleport,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/teleport,directories/src__commands__teleport.md,1,skipped,skipped: covered by parent summary
directory:src/commands/theme,122,C,skip,directory,src/commands/theme,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/theme,directories/src__commands__theme.md,1,skipped,skipped: covered by parent summary
directory:src/commands/thinkback,123,C,skip,directory,src/commands/thinkback,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands/thinkback,directories/src__commands__thinkback.md,1,skipped,skipped: covered by parent summary
